ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
0.000931,-0.005967,0.019657,0.008487,-0.003996,0.005859,-0.030935,0.022285,0.019657,0.017357
0.002574,-0.011552,0.019328,0.008487,0.008487,0.005202,-0.029292,0.022942,0.023599,0.018343
0.01013,-0.017137,0.019328,0.01013,0.010787,0.010787,-0.02535,0.02327,-0.007282,0.001588
0.003231,-0.019765,0.019328,0.008816,0.012101,0.01013,-0.029292,0.024585,-0.019108,0.009473
0.00356,-0.021408,0.015386,0.013744,0.010458,0.008487,-0.029621,0.020971,0.003888,0.014729
0.003888,-0.015823,0.019328,0.017357,-5.4e-05,0.005202,-0.032577,0.019985,0.000274,-0.006624
0.004545,-0.015166,0.017357,0.015058,0.010458,0.004545,-0.03422,0.020971,-0.001697,-0.000711
0.011772,-0.014837,0.0167,0.018343,0.005202,0.00126,-0.025678,0.023599,-0.017794,-0.018123
0.008816,-0.012538,0.01013,0.018343,0.006845,-0.000711,-0.028635,0.021628,-0.01648,-0.014837
0.008816,-0.003996,0.022942,0.017686,0.007502,-0.003011,-0.029621,0.022942,-0.003339,-0.019765
0.005859,-0.002025,0.016372,0.019657,0.005531,-0.000383,-0.031263,0.022613,0.000603,-0.000383
0.003231,-0.002025,0.019328,0.02327,0.002574,-0.006296,-0.02765,0.020642,-0.000383,0.00126
0.005202,-0.013852,0.020971,0.023928,0.00783,-0.00531,-0.029621,0.019985,0.013744,0.003888
0.004217,-0.000383,0.008487,0.023599,0.011115,-0.004982,-0.028635,0.025242,0.020971,0.013415
0.00126,-0.004325,0.019328,0.027541,0.013415,-0.004982,-0.030606,0.025242,0.015058,0.015386
0.000274,0.000931,0.013415,0.024256,0.014401,-0.002354,-0.032249,0.02327,0.019328,0.023599
0.000603,0.000931,0.015715,0.02557,0.013086,-0.00991,-0.030278,0.022942,0.020971,0.018343
0.007173,-0.012209,0.017357,0.022942,0.014072,-0.008267,-0.028635,0.014401,0.020971,0.021628
-0.002025,-0.004653,0.019328,0.025899,0.014072,-0.009253,-0.030278,0.021956,0.029512,0.022285
-0.002025,-0.014509,0.013415,0.024256,0.013086,-0.010238,-0.029292,0.021299,0.036083,0.050537
-0.006296,-0.022393,0.014729,0.023599,0.008159,-0.013523,-0.030606,0.019328,0.02327,0.042981
-0.003339,-0.024693,0.016043,0.022942,0.009801,-0.010238,-0.030935,0.018671,0.023928,0.044624
-0.004982,-0.019108,0.019985,0.024913,0.01013,-0.013852,-0.026335,0.024256,0.035754,0.044624
